Timestamp;Natural gas;Steam to carbon;Steam flow to primary reformer;Steam flow to secondary reformer;HTS inlet temperature;HTS outlet temperature;HTS temperature 1;HTS temperature 2;HTS temperature 3;HTS temperature 4;CO concentration at HTS outlet;LTS inlet temperature;LTS outlet temperature;LTS temperature 1;;LTS temperature 3;LTS temperature 4;LTS temperature 5;CO concentration at LTS outlet
23.09.2022 01:00;60671,820;2,884;154357,500;5543,384;625,461;685,244;634,557;652,208;665,741;678,327;;483,333;504,116;483,407;493,326;500,751;502,787;503,435;
23.09.2022 01:10;60248,100;2,888;153477,500;5543,813;625,428;684,893;635,166;652,898;666,369;679,113;;484,129;504,519;484,231;494,197;501,583;503,359;503,850;
23.09.2022 01:20;60503,080;2,877;153546,800;5522,341;625,484;685,064;635,796;653,551;667,174;680,098;;483,016;505,365;483,883;494,340;502,080;504,063;504,639;
23.09.2022 01:30;60424,980;2,886;153839,400;5537,906;625,463;685,514;636,162;653,758;667,473;680,678;;481,823;505,250;482,697;493,014;500,896;503,306;504,214;
23.09.2022 01:40;60385,160;2,884;153602,900;5537,202;625,497;685,364;636,256;653,633;667,221;680,331;;483,318;504,048;483,217;492,820;500,250;502,269;503,037;
23.09.2022 01:50;60411,450;2,902;154646,800;5525,927;625,483;685,044;636,182;653,401;666,868;679,847;;483,971;504,369;484,267;494,226;501,576;503,276;503,692;
23.09.2022 02:00;60366,020;2,893;154018,700;5515,653;625,494;685,142;636,263;653,770;667,345;680,417;;482,594;505,477;483,684;494,239;502,015;504,088;504,694;
23.09.2022 02:10;60688,320;2,879;154105,600;5509,889;625,475;685,906;636,420;653,766;667,798;681,152;;481,749;505,100;482,509;492,707;500,637;503,086;504,031;
23.09.2022 02:20;60549,280;2,884;154023,100;5518,293;625,527;686,086;636,523;653,217;667,642;681,097;;482,773;503,970;482,804;492,480;499,986;502,130;502,958;
23.09.2022 02:30;60709,880;2,870;153690,900;5529,744;625,499;685,737;636,405;652,964;667,632;681,069;;483,500;504,125;483,639;493,490;500,974;502,858;503,408;
23.09.2022 02:40;60791,830;2,868;153789,900;5528,556;625,530;685,782;636,415;652,903;667,446;680,768;;482,986;504,954;483,867;494,106;501,599;503,550;504,174;
23.09.2022 02:50;60347,100;2,891;153876,800;5526,202;625,578;685,587;636,330;652,970;667,632;680,928;;482,493;505,098;482,885;493,104;500,887;503,231;504,095;
23.09.2022 03:00;60833,960;2,869;153959,300;5531,405;625,545;685,646;636,298;653,016;667,965;681,326;;483,359;504,223;483,580;493,421;500,846;502,829;503,449;
23.09.2022 03:10;60461,610;2,890;154147,400;5549,819;625,554;685,570;636,220;652,933;667,957;681,193;;482,827;504,739;483,501;493,674;501,286;503,313;503,977;
23.09.2022 03:20;60407,600;2,894;154206,800;5554,626;625,590;685,393;636,226;652,800;667,660;680,812;;482,027;504,588;482,917;493,195;500,797;502,887;503,574;
23.09.2022 03:30;60447,860;2,901;154693,000;5584,722;625,584;685,210;636,182;652,559;667,526;680,563;;483,273;504,104;483,201;492,883;500,212;502,267;503,047;
23.09.2022 03:40;60566,660;2,890;154409,200;5570,147;625,611;685,085;636,245;652,807;667,938;680,942;;483,983;504,277;484,115;494,047;501,423;503,201;503,658;
23.09.2022 03:50;60560,500;2,873;153468,700;5572,963;625,631;685,410;636,334;652,955;668,100;681,257;;482,377;505,285;483,595;494,099;501,862;503,912;504,538;
23.09.2022 04:00;60286,160;2,888;153589,700;5561,512;625,540;685,857;636,316;653,307;668,731;681,869;;482,020;504,962;482,299;492,346;500,305;502,837;503,825;
23.09.2022 04:10;60526,950;2,880;153753,600;5568,926;625,573;685,882;636,056;652,675;668,052;681,079;;483,353;503,645;483,549;493,135;500,400;502,256;502,771;
23.09.2022 04:20;60319,930;2,891;153809,700;5575,020;625,638;685,544;636,044;652,777;668,110;681,158;;482,668;504,725;483,424;493,636;501,320;503,358;503,935;
23.09.2022 04:30;60406,830;2,891;154040,700;5573,227;625,609;685,538;636,378;653,156;668,310;681,447;;482,777;504,699;482,994;492,944;500,640;502,894;503,691;
23.09.2022 04:40;60594,820;2,892;154573,100;5588,990;625,559;685,565;636,706;653,631;668,442;681,759;;483,796;504,264;483,783;493,493;500,964;502,875;503,484;
23.09.2022 04:50;60152,950;2,925;155174,800;5580,707;625,568;685,660;637,215;654,148;668,753;682,131;;483,541;504,995;484,107;494,263;501,840;503,725;504,266;
23.09.2022 05:00;60334,890;2,891;153871,300;5584,238;625,622;685,663;637,577;654,593;669,141;682,627;;483,301;505,373;483,698;493,902;501,645;503,760;504,459;
23.09.2022 05:10;60233,470;2,908;154485,100;5597,449;625,615;685,949;637,894;654,916;669,547;683,138;;483,534;505,096;483,793;493,800;501,449;503,521;504,173;
23.09.2022 05:20;60516,610;2,881;153777,800;5580,245;625,640;685,986;638,027;655,117;669,770;683,299;;483,591;505,138;483,893;493,986;501,644;503,661;504,296;
23.09.2022 05:30;60501,100;2,881;153754,700;5568,244;625,587;685,971;637,907;654,799;669,485;682,985;;483,692;505,226;483,887;493,944;501,559;503,657;504,338;
23.09.2022 05:40;60404,740;2,910;155030,700;5592,532;625,647;685,686;637,977;654,868;669,555;682,898;;484,450;505,176;484,673;494,618;502,085;503,882;504,385;
23.09.2022 05:50;60639,370;2,884;154270,600;5580,058;625,644;685,666;637,759;654,571;669,505;682,751;;483,976;505,870;484,362;494,763;502,466;504,433;505,076;
23.09.2022 06:00;60827,910;2,870;153962,600;5607,712;625,648;685,728;637,866;654,727;670,052;683,184;;484,557;505,690;484,614;494,586;502,218;504,233;504,851;
23.09.2022 06:10;60362,170;2,887;153698,600;5584,227;625,618;685,847;637,880;654,733;670,253;683,265;;484,510;505,893;484,923;495,174;502,774;504,622;505,194;
23.09.2022 06:20;60693,600;2,857;152942,900;5584,678;625,565;685,963;637,898;654,551;670,473;683,347;;483,988;506,321;484,535;494,853;502,642;504,720;505,428;
23.09.2022 06:30;60735,290;2,872;153864,700;5573,722;625,615;685,915;637,752;654,361;670,698;683,446;;484,954;505,986;484,845;494,782;502,350;504,348;505,046;
23.09.2022 06:40;60246,670;2,899;154049,500;5585,272;625,592;685,842;637,745;654,319;670,819;683,371;;484,369;506,220;485,026;495,411;503,096;504,969;505,497;
23.09.2022 06:50;60442,140;2,890;154085,800;5597,042;625,551;685,703;637,662;654,302;670,495;683,118;;484,534;506,311;484,568;494,768;502,553;504,645;505,358;
23.09.2022 07:00;60558,190;2,893;154535,700;5459,476;625,559;685,655;637,678;654,395;670,318;683,061;;484,878;505,961;485,238;495,402;502,912;504,728;505,193;
23.09.2022 07:10;60477,450;2,895;154444,400;5451,413;625,636;685,738;637,861;654,745;670,503;683,447;;483,885;506,609;484,584;495,203;503,115;505,127;505,781;
23.09.2022 07:20;60360,410;2,913;155108,800;5464,547;625,664;685,913;637,803;654,437;669,828;683,021;;484,400;506,060;484,285;494,351;502,033;504,203;504,949;
23.09.2022 07:30;60380,100;2,901;154515,900;5455,032;625,585;685,545;637,699;654,443;669,484;682,676;;485,641;505,656;485,549;495,502;502,911;504,535;504,963;
23.09.2022 07:40;60393,520;2,908;154899,800;5472,632;625,586;685,610;637,597;654,307;669,218;682,469;;484,368;506,831;485,199;495,932;503,717;505,574;506,094;
23.09.2022 07:50;60456,990;2,959;157789,500;5474,524;625,678;685,517;637,444;653,951;668,674;682,119;;485,106;506,621;484,882;494,967;502,656;504,732;505,553;
23.09.2022 08:00;60541,690;2,911;155456,400;5469,739;625,683;685,102;637,424;654,166;668,812;682,034;;485,604;506,033;485,652;495,950;503,535;505,159;505,519;
23.09.2022 08:10;60732,980;2,896;155136,300;5482,147;625,610;685,817;637,507;654,303;669,332;682,778;;483,878;507,036;485,006;495,850;503,709;505,691;506,291;
23.09.2022 08:20;60353,810;2,926;155785,300;5493,961;625,599;685,656;637,297;653,795;668,543;681,759;;485,239;506,325;484,584;494,475;502,068;504,218;505,064;
23.09.2022 08:30;60114,010;2,943;156050,400;5497,514;625,516;685,377;637,172;653,788;668,538;681,738;;487,476;505,831;486,983;496,877;503,924;505,165;505,356;
23.09.2022 08:40;60457,430;2,885;153840,500;5480,288;625,524;685,237;637,200;653,827;668,895;681,942;;485,997;507,991;486,861;498,057;505,744;507,286;507,565;
23.09.2022 08:50;60616,160;2,887;154385,000;5487,680;625,576;685,719;637,317;653,981;669,230;682,457;;484,177;508,283;485,089;496,177;504,152;506,319;507,198;
23.09.2022 09:00;60430,920;2,914;155346,400;5472,192;625,594;685,714;637,409;653,991;669,152;682,386;;486,152;506,543;485,454;495,347;502,838;504,815;505,481;
23.09.2022 09:10;60661,260;2,925;156484,900;5474,095;625,718;685,905;637,514;654,038;669,174;682,672;;486,167;506,879;486,387;496,968;504,379;506,073;506,429;
23.09.2022 09:20;60547,960;2,901;154935,000;5459,916;625,544;685,295;637,711;654,036;668,715;681,915;;484,115;507,600;484,921;495,972;503,866;505,957;506,640;
23.09.2022 09:30;60537,180;2,934;156682,900;5498,097;625,624;685,121;637,654;653,970;668,817;682,081;;486,707;506,357;485,505;495,150;502,503;504,508;505,264;
23.09.2022 09:40;60558,850;2,914;155673,100;5480,310;625,621;685,042;637,699;654,031;669,246;682,248;;486,764;506,602;487,412;498,170;505,436;506,579;506,498;
23.09.2022 09:50;60479,760;2,913;155401,400;5490,881;625,712;685,491;637,608;653,993;669,830;682,668;;483,638;508,734;484,976;496,361;504,611;506,886;507,683;
23.09.2022 10:00;60524,420;2,874;153430,200;5473,721;625,537;686,099;637,260;653,762;670,111;682,966;;485,304;506,595;484,568;494,458;502,227;504,490;505,377;
23.09.2022 10:10;60316,850;2,932;155971,200;5497,107;625,590;685,900;636,793;652,763;668,920;681,439;;489,702;506,180;488,572;498,081;504,603;505,509;505,561;
23.09.2022 10:20;61398,810;2,862;154992,200;5515,642;625,695;685,232;636,588;652,661;669,167;681,568;;486,510;509,728;487,922;499,913;507,933;509,367;509,560;
23.09.2022 10:30;61314,660;2,922;158017,200;5471,455;625,824;685,961;636,417;652,730;669,635;682,149;;485,741;509,858;485,807;496,813;505,311;507,756;508,731;
23.09.2022 10:40;62147,030;2,869;157292,300;5473,391;625,997;685,861;636,500;652,555;669,236;681,409;;487,687;507,686;487,658;498,101;505,515;506,822;506,999;
23.09.2022 10:50;62911,640;2,815;156196,700;5471,697;626,193;686,382;636,860;653,493;670,598;683,018;;484,869;509,733;486,284;497,713;506,367;508,502;509,071;
23.09.2022 11:00;63125,260;2,800;158710,200;5466,010;626,385;687,739;637,594;654,284;671,624;684,339;3,400;484,682;509,189;485,194;495,564;504,117;506,821;507,887;0,710
23.09.2022 11:10;63642,810;2,773;158494,600;5434,055;626,387;687,548;638,178;654,741;671,868;684,358;;485,899;507,863;485,670;495,545;503,892;506,256;506,946;
23.09.2022 11:20;64569,780;2,725;158001,800;5430,788;626,516;687,223;639,025;655,774;672,838;685,114;;485,535;508,344;486,597;497,164;505,482;507,419;507,772;
23.09.2022 11:30;64589,030;2,683;155603,800;5417,280;626,477;688,260;639,716;656,731;674,108;686,802;;481,923;509,554;483,561;494,463;503,687;506,982;508,261;
23.09.2022 11:40;64822,450;2,744;159764,000;5436,024;627,162;688,548;640,414;656,803;673,778;686,444;;489,386;506,881;486,632;494,518;501,892;504,191;505,311;
23.09.2022 11:50;64488,600;2,746;159051,200;5415,817;627,090;687,907;640,799;657,270;674,165;686,434;;484,890;509,506;487,352;499,035;507,552;509,338;509,438;
23.09.2022 12:00;64651,730;2,731;158566,100;5420,140;627,209;687,811;641,404;658,100;675,228;687,370;;483,557;509,880;484,017;494,353;503,511;506,840;508,327;
23.09.2022 12:10;65731,160;2,692;158900,500;5414,354;627,323;688,680;641,990;658,865;676,255;688,801;;486,834;507,231;486,638;495,848;503,967;506,017;506,529;
23.09.2022 12:20;65659,990;2,718;160268,900;5536,344;627,420;688,904;642,255;658,937;676,252;688,709;;485,247;509,744;486,234;496,902;505,738;508,255;508,927;
23.09.2022 12:30;66059,290;2,713;160932,200;5511,528;628,054;689,048;642,661;659,193;676,630;689,067;;486,205;509,531;486,167;496,043;504,727;507,521;508,492;
23.09.2022 12:40;66355,410;2,703;161084,000;5531,900;628,014;689,393;643,060;659,961;677,611;689,844;;485,518;509,396;486,536;496,718;505,363;507,819;508,558;
23.09.2022 12:50;66966,240;2,674;160791,400;5551,843;628,052;689,713;643,219;659,925;677,607;689,836;;483,258;509,606;484,347;494,852;504,024;507,229;508,422;
23.09.2022 13:00;66568,810;2,707;161840,800;5525,872;628,086;689,551;643,489;660,170;677,890;690,029;;484,375;507,535;484,567;493,949;502,467;505,337;506,374;
23.09.2022 13:10;66495,990;2,702;161334,800;5529,700;628,188;689,526;643,659;660,362;678,109;690,132;;484,853;507,777;485,204;494,807;503,394;505,974;506,770;
23.09.2022 13:20;66381,590;2,722;162250,000;5545,760;628,199;689,717;643,868;660,680;678,630;690,712;;484,698;508,341;485,226;495,055;503,762;506,514;507,382;
23.09.2022 13:30;66660,110;2,697;161454,700;5528,908;628,173;689,725;644,166;660,936;678,815;690,708;;484,663;508,336;485,174;494,906;503,571;506,397;507,290;
23.09.2022 13:40;66314,160;2,733;162735,100;5509,504;628,222;689,616;644,532;661,272;679,134;691,046;;484,900;508,206;485,544;495,320;503,875;506,431;507,183;
23.09.2022 13:50;66475,200;2,717;162189,500;5505,885;628,263;689,688;644,800;661,395;679,409;691,371;;484,503;508,600;485,262;495,258;503,924;506,657;507,572;
23.09.2022 14:00;66016,390;2,746;162796,700;5514,520;628,221;689,616;645,005;661,321;679,223;691,094;;484,796;508,197;485,204;494,803;503,411;506,135;507,063;
23.09.2022 14:10;66308,440;2,730;162544,800;5504,730;628,218;689,311;645,065;661,234;679,057;691,008;;485,911;508,139;485,910;495,539;504,034;506,490;507,211;
23.09.2022 14:20;66588,610;2,714;162278,600;5507,700;628,179;689,270;644,996;661,214;679,129;691,208;;485,441;508,859;486,440;496,663;505,253;507,623;508,215;
23.09.2022 14:30;66679,360;2,701;161755,000;5501,848;628,206;689,677;644,522;660,813;678,712;690,897;;483,051;509,443;484,546;495,033;504,253;507,384;508,468;
23.09.2022 14:40;66731,720;2,711;162460,100;5501,661;628,200;689,779;643,675;659,893;677,486;689,754;;485,442;507,715;485,038;494,016;502,508;505,405;506,509;
23.09.2022 14:50;66434,720;2,728;162737,300;5505,962;628,184;689,588;642,537;659,106;676,261;688,457;;486,724;508,330;487,218;496,840;505,198;507,302;507,711;
23.09.2022 15:00;66727,870;2,719;162965,000;5512,221;628,192;689,655;641,350;658,292;674,955;687,128;;481,921;510,295;484,570;495,754;505,219;508,366;509,369;
23.09.2022 15:10;67415,150;2,685;162555,800;5472,181;628,217;690,012;640,568;657,646;674,211;686,401;;482,829;507,699;482,803;491,979;500,775;504,402;506,029;
23.09.2022 15:20;67042,690;2,716;163507,300;5490,386;628,195;689,920;640,199;657,221;673,282;685,355;;487,934;506,098;486,662;495,098;503,009;505,018;505,392;
23.09.2022 15:30;66826,100;2,712;162783,500;5496,524;628,192;689,516;640,150;657,061;672,714;684,717;;485,540;509,803;487,608;498,695;507,535;509,521;509,654;
23.09.2022 15:40;66771,760;2,693;161473,400;5482,642;628,078;689,515;640,206;657,426;672,937;684,885;;480,634;510,604;482,527;493,177;503,024;507,203;509,015;
23.09.2022 15:50;67200,650;2,715;163863,700;5473,897;628,249;689,772;639,767;656,729;672,088;683,945;;487,566;505,780;485,391;493,141;500,893;503,424;504,422;
23.09.2022 16:00;66872,960;2,710;162743,900;5475,118;628,276;689,761;639,174;656,387;671,835;683,763;;488,367;508,681;490,478;500,983;508,745;509,585;509,036;
23.09.2022 16:10;66665,610;2,738;163933,000;5482,356;628,294;689,880;638,622;655,761;671,348;683,205;;482,864;513,408;484,322;495,468;505,619;509,811;511,702;
23.09.2022 16:20;66786,830;2,738;164244,300;5478,308;628,266;689,546;638,183;655,323;671,000;682,555;;483,517;507,444;484,112;493,530;502,214;505,250;506,369;
23.09.2022 16:30;67274,460;2,690;162543,700;5478,132;628,266;689,338;637,903;655,244;671,055;682,389;;483,756;507,215;484,471;494,096;502,791;505,579;506,357;
23.09.2022 16:40;66711,810;2,732;163649,200;5471,224;628,289;689,775;637,546;655,083;671,287;682,495;;485,637;507,711;485,544;494,806;503,365;506,035;506,796;
23.09.2022 16:50;66679,250;2,722;162996,900;5461,280;628,199;689,498;636,887;654,369;670,618;681,609;;485,144;508,680;486,122;496,143;504,862;507,368;507,980;
23.09.2022 17:00;66680,570;2,715;162603,100;5443,262;628,146;689,362;636,353;654,121;670,726;681,469;;483,865;509,144;484,722;494,815;503,940;507,044;508,090;
23.09.2022 17:10;66949,080;2,702;162466,700;5464,140;628,252;689,348;635,975;653,851;670,682;681,091;;487,134;507,802;486,412;495,421;503,734;506,252;506,937;
23.09.2022 17:20;67118,150;2,690;162149,900;5489,484;628,225;689,439;635,780;654,068;671,230;681,286;;485,866;509,588;487,454;497,956;506,658;508,850;509,229;
23.09.2022 17:30;66642,400;2,704;161811,100;5452,249;628,214;689,610;635,483;654,130;671,709;681,349;;482,333;510,442;484,161;494,979;504,520;507,941;509,268;
23.09.2022 17:40;66657,690;2,731;163506,200;5488,681;628,242;689,604;635,419;654,587;672,201;681,445;;486,048;507,313;485,083;493,791;502,097;504,993;505,988;
23.09.2022 17:50;66846,010;2,705;162383,100;5465,537;628,202;689,390;635,431;654,972;672,448;681,624;;488,844;508,242;489,500;499,249;507,061;508,296;508,163;
23.09.2022 18:00;67212,750;2,697;162767,000;5467,924;628,279;689,516;635,500;655,419;673,144;682,436;;484,922;512,543;486,229;497,308;506,954;510,275;511,450;
23.09.2022 18:10;66610,610;2,728;163175,100;5480,420;628,205;689,580;635,517;655,441;673,340;683,077;;485,629;509,365;485,888;495,676;504,560;507,378;508,400;
23.09.2022 18:20;66848,100;2,703;162258,800;5476,636;628,234;689,680;635,488;655,088;673,319;683,529;;486,426;509,198;486,798;496,473;505,061;507,574;508,363;
23.09.2022 18:30;66939,400;2,695;162035,500;5476,735;628,200;689,654;635,481;654,750;672,950;683,622;;484,465;509,945;486,074;496,509;505,528;508,210;509,044;
23.09.2022 18:40;66603,570;2,728;163154,200;5473,941;628,268;689,823;635,457;654,060;672,602;683,666;;484,196;509,129;484,703;494,521;503,432;506,553;507,781;
23.09.2022 18:50;67075,140;2,701;162709,800;5470,399;628,377;689,800;634,470;651,525;671,481;682,590;;487,798;507,719;487,193;496,217;504,205;506,346;506,890;
23.09.2022 19:00;66494,670;2,710;161807,800;5480,189;628,264;689,341;633,358;649,228;670,876;681,769;;485,328;510,072;487,259;498,226;506,960;509,033;509,474;
23.09.2022 19:10;66867,570;2,706;162478,800;5459,124;628,300;689,459;632,976;648,131;671,331;682,381;;484,792;510,110;485,662;495,823;504,743;507,619;508,773;
23.09.2022 19:20;67459,590;2,680;162369,900;5473,083;628,373;689,699;632,899;647,896;671,923;683,094;;487,423;508,774;486,950;496,254;504,622;507,116;507,921;
23.09.2022 19:30;66939,510;2,719;163447,900;5498,394;628,372;689,847;632,955;648,129;672,341;683,333;;485,505;510,172;487,336;498,074;506,941;509,188;509,704;
23.09.2022 19:40;67350,250;2,708;163807,600;5494,544;628,401;689,732;633,219;648,397;672,421;683,351;;485,172;510,283;486,088;496,275;505,135;507,973;509,120;
23.09.2022 19:50;67526,580;2,703;163925,300;5490,507;628,391;689,289;633,570;648,894;672,516;683,201;;485,598;509,084;486,402;496,424;505,005;507,444;508,210;
23.09.2022 20:00;67234,310;2,715;163912,100;5481,795;628,371;689,245;633,788;649,434;672,866;683,453;;485,261;509,389;486,142;496,281;504,968;507,570;508,460;
23.09.2022 20:10;67531,750;2,709;164305,900;5492,311;628,470;689,286;633,905;649,688;672,694;683,193;;485,215;509,174;485,869;495,848;504,485;507,190;508,148;
23.09.2022 20:20;67100,770;2,737;164923,000;5506,776;628,459;689,115;634,250;650,430;673,038;683,509;;485,603;508,791;486,095;496,083;504,687;507,195;507,958;
23.09.2022 20:30;67196,690;2,710;163535,900;5477,098;628,365;689,242;634,728;651,145;673,308;683,721;;485,402;509,032;486,335;496,480;505,124;507,530;508,267;
23.09.2022 20:40;68238,170;2,657;162853,900;5474,678;628,312;689,323;635,001;651,504;673,339;683,757;;484,687;509,318;485,475;495,586;504,387;507,256;508,237;
23.09.2022 20:50;68219,250;2,661;163055,200;5480,167;628,356;689,174;635,491;652,228;673,934;684,170;;486,509;508,499;486,210;495,720;504,223;506,740;507,586;
23.09.2022 21:00;67101,650;2,713;163465,500;5487,141;628,345;689,370;636,104;653,116;675,004;685,107;;485,587;509,297;486,928;497,349;506,041;508,297;508,797;
23.09.2022 21:10;67828,970;2,675;162930,900;5489,132;628,394;689,627;636,632;653,668;675,567;685,747;;482,661;509,878;484,351;495,011;504,299;507,477;508,713;
23.09.2022 21:20;67792,780;2,731;166291,400;5528,435;628,428;689,602;636,982;653,955;675,715;685,960;;485,594;507,441;484,995;493,913;502,262;505,094;506,223;
23.09.2022 21:30;66902,220;2,743;164802,000;5522,330;628,336;689,082;637,321;654,179;675,642;685,696;;486,800;507,969;487,365;497,389;505,652;507,487;507,715;
23.09.2022 21:40;67266,650;2,719;164261,900;5497,712;628,359;689,297;637,656;654,734;676,558;686,686;;485,499;510,334;486,679;497,233;506,092;508,665;509,484;
23.09.2022 21:50;67710,170;2,692;163696,500;5471,730;628,315;689,515;637,914;655,014;677,071;687,024;;485,725;509,669;486,419;496,530;505,201;507,787;508,677;
23.09.2022 22:00;67322,090;2,707;163643,700;5472,863;628,326;689,508;638,067;655,236;677,461;687,189;;484,986;509,376;486,111;496,435;505,237;507,767;508,546;
23.09.2022 22:10;67118,260;2,729;164522,600;5473,292;628,293;689,606;638,204;655,481;677,758;687,571;;485,120;509,197;485,777;495,737;504,564;507,285;508,262;
23.09.2022 22:20;67078,770;2,721;163903,300;5474,194;628,253;689,733;638,362;655,648;677,937;687,788;;484,911;509,030;485,770;495,784;504,521;507,227;508,080;
23.09.2022 22:30;67666,170;2,692;163609,600;5474,458;628,296;689,915;638,505;655,799;678,167;688,048;;484,603;509,065;485,478;495,461;504,284;507,083;508,062;
23.09.2022 22:40;66954,800;2,728;164035,300;5470,399;628,230;689,625;638,543;655,681;678,026;687,762;;484,924;508,658;485,577;495,368;504,073;506,725;507,646;
23.09.2022 22:50;66932,140;2,739;164644,700;5494,522;628,218;689,270;639,085;655,904;678,552;688,368;;486,215;508,718;486,498;496,174;504,681;507,130;507,861;
23.09.2022 23:00;66842,380;2,737;164288,300;5490,870;628,243;689,253;639,809;656,474;679,900;689,909;;484,940;509,658;486,108;496,461;505,365;508,000;508,840;
23.09.2022 23:10;67039,610;2,725;164056,200;5487,493;628,233;689,676;640,762;657,187;680,893;691,560;;483,404;509,368;484,439;494,606;503,753;506,932;508,159;
23.09.2022 23:20;67456,620;2,701;163649,200;5473,303;628,212;689,601;641,753;658,018;680,324;691,642;;485,161;507,745;485,320;494,634;503,086;505,758;506,658;
23.09.2022 23:30;66919,380;2,729;163988,000;5474,007;628,193;689,296;642,388;659,029;679,136;690,962;;485,633;508,616;486,123;495,894;504,473;507,008;507,807;
23.09.2022 23:40;67710,060;2,697;163973,700;5473,116;628,235;689,304;642,695;659,629;678,003;690,296;;485,769;509,264;486,384;496,345;505,038;507,627;508,442;
23.09.2022 23:50;67194,270;2,727;164544,600;5473,105;628,243;689,581;642,858;659,788;677,413;690,112;;485,046;509,577;485,866;495,988;504,943;507,690;508,630;
24.09.2022 00:00;67086,580;2,724;164137,600;5479,551;628,275;689,557;642,608;659,649;675,907;688,857;;486,146;508,968;486,374;496,075;504,714;507,246;508,103;
24.09.2022 00:10;67046,100;2,741;165029,700;5494,148;628,225;689,440;641,325;659,228;673,787;686,731;;485,266;509,519;486,359;496,695;505,444;507,993;508,736;
24.09.2022 00:20;67275,670;2,716;164113,400;5488,285;628,229;689,098;639,632;658,454;671,520;684,365;;485,581;509,344;486,022;495,987;504,754;507,413;508,317;
24.09.2022 00:30;68057,000;2,690;164437,900;5557,233;628,222;688,891;638,271;657,906;669,740;682,448;;486,836;509,023;486,965;496,755;505,280;507,659;508,314;
24.09.2022 00:40;66977,680;2,737;164621,600;5517,589;628,178;688,867;637,405;657,515;668,512;681,181;;485,874;509,969;486,968;497,420;506,207;508,626;509,288;
24.09.2022 00:50;66844,800;2,737;164292,700;5502,365;628,203;689,345;636,917;657,691;668,116;680,868;;484,352;510,131;485,379;495,673;504,871;507,902;509,036;
24.09.2022 01:00;66976,800;2,734;164436,800;5474,667;628,224;689,498;636,582;657,065;667,443;680,139;;485,938;508,544;485,961;495,516;504,095;506,692;507,596;
24.09.2022 01:10;67140,590;2,725;164329,000;5487,350;628,154;689,262;636,243;656,301;667,106;679,716;;486,002;509,182;486,586;496,720;505,385;507,847;508,487;
24.09.2022 01:20;67860,980;2,678;163187,200;5473,006;628,117;689,276;636,086;656,044;667,346;679,889;;484,650;509,768;485,891;496,250;505,193;507,927;508,814;
24.09.2022 01:30;67624,480;2,699;163915,400;5486,745;628,192;689,362;635,962;655,741;667,445;679,979;;485,766;508,984;485,914;495,618;504,333;506,981;507,954;
24.09.2022 01:40;67046,540;2,732;164528,100;5495,853;628,177;689,533;635,893;655,453;667,668;680,275;;486,039;509,237;486,649;496,674;505,430;507,852;508,542;
24.09.2022 01:50;67613,480;2,684;162950,700;5476,636;628,115;689,604;635,484;654,732;667,555;679,981;;484,396;509,821;485,590;495,971;505,005;507,843;508,797;
24.09.2022 02:00;66821,810;2,746;164787,700;5467,572;628,102;689,497;634,991;654,104;667,361;679,572;;485,580;508,740;485,675;495,296;504,009;506,702;507,664;
24.09.2022 02:10;67236,730;2,722;164345,500;5345,230;628,129;689,289;634,635;653,553;667,161;679,304;;485,602;508,903;486,476;496,613;505,269;507,598;508,254;
24.09.2022 02:20;67111,660;2,723;164090,300;5346,484;628,174;689,279;634,137;652,901;667,010;678,980;;484,814;509,611;485,658;495,860;504,821;507,598;508,598;
24.09.2022 02:30;67196,690;2,714;163790,000;5357,440;628,142;689,346;633,716;652,424;666,832;678,724;;485,500;508,857;485,899;495,685;504,328;506,922;507,796;
24.09.2022 02:40;67023,770;2,734;164578,700;5343,525;628,198;689,354;633,473;652,125;666,683;678,648;;485,327;509,017;486,195;496,322;504,991;507,458;508,210;
24.09.2022 02:50;68149,400;2,681;164098,000;5344,460;628,253;689,196;633,201;651,706;666,144;677,981;;484,599;509,157;485,520;495,666;504,476;507,225;508,168;
24.09.2022 03:00;67109,570;2,733;164739,300;5344,790;628,174;688,803;633,037;651,331;665,806;677,544;;486,139;508,483;486,160;495,750;504,235;506,708;507,524;
24.09.2022 03:10;67172,930;2,738;165187,000;5373,049;628,154;688,550;633,012;651,206;665,839;677,431;;487,006;509,123;487,316;497,316;505,724;507,863;508,421;
24.09.2022 03:20;67739,100;2,721;165503,800;5361,807;628,201;689,030;633,151;651,526;666,389;678,233;;485,425;510,394;486,711;497,255;506,155;508,729;509,572;
24.09.2022 03:30;67246,960;2,716;164043,000;5360,718;628,151;689,221;633,422;651,859;666,745;678,619;;484,725;509,721;485,489;495,611;504,615;507,500;508,584;
24.09.2022 03:40;66754,160;2,772;166194,600;5387,195;628,178;689,199;633,649;651,960;666,695;678,542;;485,784;508,546;486,035;495,681;504,177;506,744;507,599;
24.09.2022 03:50;66990,220;2,749;165407,000;5383,213;628,155;688,972;633,721;651,951;666,603;678,471;;486,031;509,123;486,597;496,620;505,184;507,592;508,313;
24.09.2022 04:00;67814,340;2,711;165108,900;5372,917;628,164;688,865;633,884;652,120;666,678;678,602;;485,335;509,610;486,143;496,390;505,169;507,838;508,636;
24.09.2022 04:10;67653,850;2,707;164480,800;5387,668;628,144;688,904;634,428;652,882;667,195;679,388;;485,035;509,239;485,776;495,849;504,684;507,409;508,298;
